"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Oct-2024","EQ","82.20","83.30","81.63","82.03","82.44","82.60","82.52","118.40","49.20","2,18,78,438","1,80,54,92,691.05","1,54,144"
"30-Oct-2024","EQ","80.67","82.95","79.87","80.67","82.20","82.03","81.85","118.40","49.20","2,22,07,113","1,81,77,27,452.04","1,18,623"
"29-Oct-2024","EQ","79.30","80.90","78.26","78.94","80.65","80.67","79.47","118.40","49.20","1,54,01,041","1,22,39,64,288.83","90,943"
"28-Oct-2024","EQ","79.00","80.10","77.70","78.50","79.00","78.94","79.10","118.40","49.20","2,40,29,278","1,90,06,37,923.49","1,39,372"
"25-Oct-2024","EQ","80.35","80.91","77.06","80.05","78.59","78.50","78.46","118.40","48.40","3,19,80,972","2,50,91,81,540.61","1,63,320"
"24-Oct-2024","EQ","78.39","81.95","78.31","78.18","80.14","80.05","80.27","118.40","48.40","4,07,61,475","3,27,19,26,152.82","1,82,814"
"23-Oct-2024","EQ","78.59","80.37","75.10","78.60","77.95","78.18","78.36","118.40","48.40","6,05,81,545","4,74,72,46,721.12","3,25,460"
"22-Oct-2024","EQ","82.00","82.19","78.10","82.05","78.70","78.60","80.00","118.40","48.40","4,18,96,269","3,35,15,73,931.82","2,89,536"
"21-Oct-2024","EQ","84.50","84.55","81.65","84.13","81.80","82.05","82.64","118.40","48.40","1,60,07,325","1,32,28,42,276.72","1,46,142"
"18-Oct-2024","EQ","84.85","84.85","83.01","84.95","84.30","84.13","83.91","118.40","48.40","3,49,70,175","2,93,43,78,377.69","1,65,607"
"17-Oct-2024","EQ","88.10","88.75","84.75","87.99","84.95","84.95","86.05","118.40","48.40","2,32,58,469","2,00,14,50,521.79","1,69,932"
"16-Oct-2024","EQ","90.00","90.25","87.80","90.01","87.99","87.99","88.54","118.40","48.40","2,70,10,285","2,39,15,26,619.06","1,48,680"
"15-Oct-2024","EQ","91.06","91.84","89.74","91.06","90.10","90.01","90.26","118.40","48.40","1,35,14,291","1,21,97,61,511.32","76,271"
"14-Oct-2024","EQ","91.00","91.65","90.76","90.92","91.02","91.06","91.08","118.40","48.40","78,09,402","71,12,94,642.50","54,122"
"11-Oct-2024","EQ","90.62","91.25","90.00","90.81","90.92","90.92","90.69","118.40","48.40","1,07,76,323","97,73,22,770.36","60,139"
"10-Oct-2024","EQ","92.62","92.90","90.50","92.14","90.69","90.81","91.46","118.40","48.40","1,53,75,544","1,40,62,75,062.30","90,892"
"09-Oct-2024","EQ","91.36","93.19","90.85","90.64","92.33","92.14","91.68","118.40","48.40","3,83,36,883","3,51,46,96,728.38","1,03,162"
"08-Oct-2024","EQ","89.55","91.58","87.72","90.47","90.97","90.64","90.17","118.40","48.40","2,17,47,643","1,96,10,09,570.46","1,43,322"
"07-Oct-2024","EQ","93.15","93.25","87.72","93.17","90.51","90.47","90.05","118.40","48.40","3,17,30,134","2,85,73,49,402.29","2,44,272"
"04-Oct-2024","EQ","92.35","93.40","91.05","92.96","93.35","93.17","92.74","118.40","48.40","1,44,49,046","1,34,00,18,612.40","94,170"
"03-Oct-2024","EQ","93.15","94.30","92.77","95.05","93.06","92.96","93.51","118.40","48.40","2,11,58,068","1,97,85,89,856.29","1,29,895"
"01-Oct-2024","EQ","95.30","95.55","94.60","94.95","95.08","95.05","95.09","118.40","48.40","1,46,15,288","1,38,96,98,483.45","84,739"
"30-Sep-2024","EQ","95.34","96.19","94.41","95.34","94.70","94.95","95.06","118.40","48.40","2,64,25,540","2,51,19,37,474.69","1,36,590"
"27-Sep-2024","EQ","94.00","96.00","93.15","93.43","94.38","95.34","94.94","118.40","48.40","5,66,73,067","5,38,04,51,054.52","1,37,225"
"26-Sep-2024","EQ","93.30","93.85","92.20","92.92","93.40","93.43","92.74","118.40","48.40","1,75,58,678","1,62,83,54,543.69","1,04,590"
"25-Sep-2024","EQ","93.70","94.07","92.30","93.46","92.65","92.92","92.96","118.40","48.40","2,15,76,479","2,00,57,42,583.45","1,33,165"
"24-Sep-2024","EQ","94.24","94.33","93.30","94.24","93.47","93.46","93.62","118.40","48.40","2,27,23,732","2,12,74,97,779.62","1,29,161"
"23-Sep-2024","EQ","94.60","95.00","93.85","94.65","94.10","94.24","94.30","118.40","48.40","3,01,50,367","2,84,32,14,291.39","1,65,660"
"20-Sep-2024","EQ","92.55","96.20","91.80","92.43","94.21","94.65","93.72","118.40","48.40","3,10,54,052","2,91,03,87,290.32","1,75,746"
"19-Sep-2024","EQ","94.95","95.22","91.39","94.39","92.94","92.43","92.65","118.40","48.40","2,04,71,147","1,89,67,17,263.91","1,92,674"
"18-Sep-2024","EQ","95.10","95.95","94.06","95.50","94.35","94.39","94.87","118.40","48.40","89,09,159","84,52,21,027.17","95,525"
"17-Sep-2024","EQ","96.40","96.40","95.17","96.19","95.49","95.50","95.55","118.40","48.40","1,03,17,825","98,59,00,521.44","99,151"
"16-Sep-2024","EQ","94.69","96.98","94.50","94.28","96.28","96.19","96.11","118.40","48.40","1,99,05,720","1,91,32,33,946.73","1,06,551"
"13-Sep-2024","EQ","95.70","96.50","94.00","95.30","94.47","94.28","95.17","118.40","48.40","1,51,68,030","1,44,35,30,190.52","89,933"
"12-Sep-2024","EQ","95.20","95.90","94.65","94.38","95.30","95.30","95.35","118.40","48.40","1,69,82,988","1,61,93,89,827.57","95,817"
"11-Sep-2024","EQ","95.05","95.87","94.10","95.05","94.25","94.38","94.82","118.40","48.40","1,17,17,823","1,11,11,12,452.23","75,945"
"10-Sep-2024","EQ","95.19","96.28","94.87","94.87","94.90","95.05","95.46","118.40","48.40","1,32,09,197","1,26,09,33,829.59","81,699"
"09-Sep-2024","EQ","96.00","96.05","93.81","96.09","94.78","94.87","94.60","118.40","48.40","2,29,51,872","2,17,13,03,663.59","1,28,603"
"06-Sep-2024","EQ","97.99","98.43","95.50","98.21","96.05","96.09","96.40","118.40","48.40","1,95,18,008","1,88,15,28,895.44","1,06,764"
"05-Sep-2024","EQ","98.90","98.98","97.56","98.75","98.26","98.21","98.22","118.40","48.40","1,59,14,761","1,56,31,51,668.46","77,864"
"04-Sep-2024","EQ","98.80","99.30","97.92","99.07","98.65","98.75","98.56","118.40","48.40","1,94,37,901","1,91,58,12,685.03","86,224"
"03-Sep-2024","EQ","98.00","99.35","97.26","97.84","98.90","99.07","98.52","118.40","48.40","2,61,55,552","2,57,67,48,325.40","1,19,381"
"02-Sep-2024","EQ","100.00","100.50","97.44","96.12","97.55","97.84","98.53","118.40","48.40","5,26,36,400","5,18,60,27,102.50","2,07,995"
"30-Aug-2024","EQ","95.50","97.75","93.09","95.02","97.15","96.12","95.43","118.40","48.40","4,14,87,282","3,95,92,21,260.31","1,55,467"
"29-Aug-2024","EQ","95.00","97.30","94.82","95.06","95.02","95.02","95.69","118.40","48.40","3,06,22,569","2,93,02,39,504.65","1,28,081"
"28-Aug-2024","EQ","95.10","95.98","94.73","95.03","95.08","95.06","95.19","118.40","48.40","1,93,36,484","1,84,06,87,166.09","1,04,183"
"27-Aug-2024","EQ","96.60","96.96","94.80","96.65","95.19","95.03","95.64","118.40","48.40","1,88,58,070","1,80,36,42,569.92","1,17,057"
"26-Aug-2024","EQ","97.60","99.30","96.41","97.09","96.64","96.65","97.20","118.40","48.40","1,85,57,442","1,80,37,78,474.21","96,838"
"23-Aug-2024","EQ","98.45","98.60","97.00","97.93","97.08","97.09","97.71","118.40","48.40","1,84,47,799","1,80,25,70,667.64","96,885"
"22-Aug-2024","EQ","96.40","98.15","96.10","95.94","97.98","97.93","97.23","118.40","48.40","2,26,72,016","2,20,44,29,634.49","86,618"
"21-Aug-2024","EQ","95.35","96.60","95.35","96.80","95.96","95.94","96.08","118.40","48.40","1,55,90,227","1,49,78,44,940.13","80,064"
"20-Aug-2024","EQ","96.75","96.98","95.85","96.19","96.83","96.80","96.45","118.40","48.40","1,68,69,237","1,62,70,48,183.81","80,586"
"19-Aug-2024","EQ","94.65","97.35","94.50","94.13","96.73","96.19","96.14","118.40","48.40","3,12,39,316","3,00,33,24,635.38","1,39,148"
"16-Aug-2024","EQ","94.10","94.89","92.50","93.68","94.09","94.13","93.33","118.40","48.40","3,47,56,900","3,24,39,73,148.35","1,68,635"
"14-Aug-2024","EQ","95.62","96.05","93.05","95.12","93.44","93.68","93.95","118.40","48.40","2,77,39,978","2,60,61,56,321.24","1,50,719"
"13-Aug-2024","EQ","97.00","97.79","94.64","96.87","95.02","95.12","96.30","118.40","48.40","2,55,38,708","2,45,93,32,035.05","1,45,625"
"12-Aug-2024","EQ","96.84","97.20","95.45","97.77","96.83","96.87","96.33","118.40","48.40","3,68,67,310","3,55,14,17,047.30","2,10,662"
"09-Aug-2024","EQ","99.28","99.80","97.40","98.78","97.74","97.77","98.47","118.40","48.40","2,32,86,851","2,29,30,71,645.02","1,24,332"
"08-Aug-2024","EQ","100.20","100.20","98.26","100.55","98.72","98.78","99.42","118.40","48.40","2,70,76,745","2,69,20,37,439.10","1,33,724"
